collection,max_timestamp,utc_timestamp,subCommodityCode,subCommodityName,database_name,variations,object_id,changeStreamEvent
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,59812,HARD SQUASH ORGANIC,PROD_SB,,671a80248d26a628ef13f8ad_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 242), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,98121,BEANS,PROD_SB,,671a80248d26a628ef13f748_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 41), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,98008,Apples Golden Delicious (Bulk & Bag),PROD_SB,,671a80248d26a628ef13f96b_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 271), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60015,APPLES ENVY ORGANIC,PROD_SB,,671a80248d26a628ef13f76b_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 70), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60602,PINEAPPLE WHOLE&PEEL/CORED ORGANIC,PROD_SB,,671a80248d26a628ef13f880_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 198), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526569,2024-11-13 13:36:09,62001,Plantains,PROD_SB,,671a9aa64ef8dc5639274f80_1731526562,"{'operationType': 'update', 'timestamp': Timestamp(1731526562, 27), 'updatedFields': {'spec.storage.ethyleneSensitive': {'showDqaHelper': False, 'dqaHelperChecked': False, 'dqaHelperText': '', 'value': True, 'displayFlag': True}}, 'removedFields': ['spec.storage.ethylene_sensitive']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,98148,SALAD SPINACH,PROD_SB,,671a80248d26a628ef13f66c_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 12), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60920,AVOCADOS BULK,PROD_SB,,671a80248d26a628ef13f77c_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 84), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,64052,SALAD BOWLS,PROD_SB,,671a80248d26a628ef13f663_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 3), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60015,APPLES ENVY ORGANIC,PROD_SB,,671a80248d26a628ef13f76d_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 72), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526600,2024-11-13 13:36:40,98052,TROPICAL FRUIT - OTHER,PROD_SB,,671a80248d26a628ef13f87c_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 194), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': 'false', 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526600,2024-11-13 13:36:40,60601,MANGO ORGANIC,PROD_SB,,671a80248d26a628ef13f871_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 185), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': 'false', 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
